Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Toronto Auto Group,10,8,7,23,0.002099223287383668,0.05001002183362217,166.9047619047619,0.006563754420857174
Corcon Auto Sales,8,8,3,22,0.0015919109929326152,0.048177698578403975,140.0,0.012957171801508956
JP Motors Sales Inc.,1,1,1,20,0.0029214190749422713,0.0682095778912987,77.56666666666666,0.015733520164322126
Direct Auto Sales,10,7,3,20,0.0014869498285634316,0.048971036633418244,175.91666666666666,0.006802277890042934
Style Auto - 9052-5585 Quebec Inc,4,4,4,20,0.0018018333216709818,0.02046361288324742,194.75,0.00713409480965259
Midcan Brokers Inc.,4,0,0,19,0.003341263732419005,0.03479889903339304,166.28571428571428,0.006848342913916685
Pioneer Chrysler BC,18,12,11,18,0.010478622909523476,0.04846124348040623,181.125,0.0055819676537076
9209-5462 Qc Inc,3,3,3,18,0.0050031488349310755,0.0681990900892785,141.6,0.008508942065680624
Auto Rev Inc,10,10,6,16,0.0014869498285634316,0.08327048528539308,213.0,0.005671482075976458
1716858 Ontario Inc.,1,0,0,16,0.0028864320201525437,0.04967415019908811,191.0,0.005235602094240838
Steele Ford Lincoln,6,0,0,15,8.74676369743195e-05,0.0180585166741795,177.0,0.005696636925188744
EV Elite Auto Sales,10,1,0,15,0.004810720033587573,0.049418523587542215,242.1818181818182,0.004610063736752889
Pickard Lane Leasing,9,0,0,14,0.0036386536981316913,0.02048164616723278,204.85714285714286,0.0049270642042895255
Yosh Shmenge Remarketing,12,7,3,14,0.003533692533762508,0.034360794379241826,150.66666666666666,0.0067915993069901015
Belleau Auto Inc,13,12,12,14,0.0010321181162969702,0.036321927070577895,211.2,0.008703799803955487
Kaylor Auto Group,13,12,8,14,0.0015394304107480233,0.03220778665684373,237.57142857142858,0.004330980726413854
Haldimand Motors LTD,6,6,3,13,0.003463718424183052,0.04548471061274508,135.29166666666666,0.012993346340663124
9324-9068 Quebec Inc ( Autos Rr ),4,2,0,13,0.003131341403680638,0.06423820750196461,98.14285714285714,0.011310497313130047
Key West Auto Inc.,7,4,0,13,0.0007347281505842838,0.041984662172940994,108.75,0.009784968118301452
Pacific Nations Auto Sales And Finance Ltd,4,4,4,13,0.0008047022601637394,0.01879294215937343,129.0,0.007751937984496124
Mark Wilson's Better Used Cars,10,3,2,12,0.003393744314603597,0.03534979766452041,166.2,0.007522889283077906
Occasion Vehicule de Longueuil,5,1,0,12,0.0004548317122664614,0.07299412189118071,102.75,0.009818007662835249
401 Auto RV Canada Inc - Cambridge,9,7,7,12,0.0034112378419984602,0.08501844517711392,205.8,0.005367734134082668
Speedbit Inc.,4,4,0,11,0.001591910992932615,0.05170293758529053,101.42857142857143,0.012025425653659005
Woods Auto Sales Ltd.,0,0,0,11,0.0001574417465537751,0.013113772665354639,51.72727272727273,0.01981581682015265
DO NOT USE - First Choice Motors,3,3,3,11,0.002414106780491218,0.04860207958286706,207.0,0.00485990577733697
Premium Automotive Sales,5,5,5,11,0.0011370792806661536,0.013113772665354639,69.54545454545455,0.016712580348943986
Go Auto Wholesale - AB,1,0,0,11,0.005283045273248898,0.03666606916538307,141.42857142857142,0.007153655112838786
Shahnawaz Enterprises Inc - SMS Motors,3,0,0,11,0.0033062766776292773,0.025419662508343824,101.81818181818181,0.009896114930099635
Location MAP Leasing,11,8,8,11,0.0011545728080610174,0.07447628056323709,164.85714285714286,0.007222521401730616
Fairley & Stevens Ford,4,4,3,10,0.0011370792806661536,0.05313852516228558,232.3,0.004320744315611811
Revmotors,3,3,0,9,0.0005073122944510532,0.04318589908982402,168.14285714285714,0.008662590872845398
Patterson Auto Sales Inc.,0,0,0,9,0.0020117556504093484,0.03230400265979014,148.2,0.007767078077670781
Punjab Motors Ltd.,0,0,0,9,0.0003148834931075502,0.011126859905746269,95.0,0.010526315789473684
Concept Auto,4,4,2,9,0.0021866909243579875,0.04830181175718933,192.0,0.005524414184871142
Corey Ford,0,0,0,9,0.0009446504793226506,0.026439027165295337,58.333333333333336,0.020741939282065306
McNaught Buick Cadillac GMC,1,0,0,9,0.0008221957875586034,0.01641436816747793,161.22222222222223,0.006203814328067613
Gundhu Auto Sales Ltd,5,5,5,9,0.0019767685956196207,0.04775880244570947,186.2,0.0054952949628425726
2544484 Ontario Inc - Open Roads Auto Sales,0,0,0,9,0.0004898187670561892,0.02882506673374981,78.8,0.01278640059127864
Beta Auto,3,0,0,8,0.003533692533762508,0.030081780437567915,225.0,0.005503055132036525
Vickar Chevrolet,1,0,0,8,0.0005947799314253726,0.022011551171556495,105.0,0.009523809523809525
Auto 313 Inc.,0,0,0,8,0.0004723252396613253,0.049462365591397855,124.5,0.008032128514056224
Welland Honda,2,1,1,8,0.0011020922258764257,0.12310463659147869,218.5,0.00457687473816506
Brown's Volkswagen - Sherwood AutoHaus Ltd,2,2,2,8,0.0007697152053740117,0.022123714296591032,125.75,0.008078420467185762
Petrie Ford,8,7,2,8,0.0009446504793226505,0.06622649059623849,211.0,0.004824290646363491
Tricity Auto,6,6,2,8,0.0015044433559582954,0.04550186093555523,176.9,0.007132725709745616
Acura Of Langley,3,3,3,8,0.0005597928766356449,0.04365859105385221,100.0,0.01
Campbell's Auto Sales 2015 Ltd,1,0,0,7,0.0005947799314253726,0.0343181275818847,67.0,0.014925373134328356
Auto House Used Car Inc,2,2,1,7,0.0011020922258764257,0.046977764733833666,162.0,0.006172839506172839
D'astous Auto Inc,1,1,1,7,0.0006472605136099643,0.056473741289040404,76.28571428571429,0.015426542654265426
ClearCar,6,3,1,7,0.006577566300468828,0.06054421768707483,121.0,0.008264462809917356
Delaney Motors Inc.,0,0,0,7,0.0011020922258764257,0.03766925288874055,56.0,0.020146520146520148
Wallace Automobiles,1,0,0,7,0.0009096634245329228,0.08488446221410825,170.85714285714286,0.006000991658402846
Vernon Nissan - Vernon Titanium Autogroup Ltd.,1,1,1,7,0.0009096634245329228,0.044626415845128435,127.0,0.007874015748031496
2120004 Alberta Ltd - Diamond Motors,7,3,3,7,0.002221677979147715,0.06786333966785095,172.33333333333334,0.0058995205336668756
2547945 Ontario Inc,0,0,0,7,0.002449093835280946,0.032753899438867806,281.0,0.0035587188612099647
Scarborough Auto Group - Octane Used Cars,5,5,5,7,0.0009446504793226505,0.037995952393648766,202.28571428571428,0.005039160754983669
9300-0032 Quebec Inc - Simon's Auto Groupe,3,3,0,7,0.0028339514379679518,0.06028902789185849,89.57142857142857,0.01357866939262288
