Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Pioneer Chrysler BC,1,0,0,1,0.010478622909523476,0.012195121951219513,,
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Prime Line Auto Group,0,0,0,1,0.0007347281505842838,0.012195121951219513,,
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,2547945 Ontario Inc,0,0,0,1,0.0024490938352809462,0.012195121951219513,281.0,0.0035587188612099642
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Shahnawaz Enterprises Inc - SMS Motors,0,0,0,1,0.0033062766776292773,0.012195121951219513,107.0,0.009345794392523364
Ford,F-150,2020,XLT 4WD SuperCrew 6.5' Box,Steele Ford Lincoln,0,0,0,1,8.74676369743195e-05,0.012195121951219513,155.0,0.0064516129032258064
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Bridge Valley,7,3,2,16,0.021954376880554197,0.1391304347826087,135.2,0.007396449704142012
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Automobiles Paille Inc.,6,4,1,15,0.02323140438037926,0.13043478260869565,174.28571428571428,0.0057377049180327875
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,R.S. Car Sales Ltd,0,0,0,9,0.003936043663844377,0.0782608695652174,143.5,0.006968641114982578
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Explorer Van Canada,2,1,0,5,0.0016968721573017984,0.043478260869565216,137.0,0.0072992700729927005
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Gateway Leasing - East,0,0,0,5,0.0063326569169407316,0.043478260869565216,143.8,0.006954102920723226
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Gateway Leasing,2,2,1,4,0.008466867259114127,0.034782608695652174,186.5,0.005361930294906166
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,2776588 Ontario Limited - Trucktown,0,0,0,4,0.00851934784129872,0.034782608695652174,102.25,0.009779951100244499
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,European Auto Gallery,2,2,2,3,0.012123014484640683,0.02608695652173913,172.66666666666666,0.005791505791505792
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,1202894 Ontario Inc - Edwards Mazda,2,2,2,3,0.002484080890070674,0.02608695652173913,178.0,0.0056179775280898875
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,1716858 Ontario Inc.,0,0,0,2,0.0028864320201525437,0.017391304347826087,191.0,0.005235602094240838
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,Sundance Chevrolet,2,2,1,2,0.012070533902456092,0.017391304347826087,,
Ford,F-150,2019,XLT 4WD SuperCrew 6.5' Box,6929290 Canada Corporation,2,1,0,2,0.004740745924008117,0.017391304347826087,210.0,0.004761904761904762
