Make,Model,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Ford,F-150,Steve Marshall Motors 1996 ltd,19,15,14,27,0.0042159401021622,0.011198672749896308,148.41176470588235,0.006738010305192232
Ford,F-150,Parkrow Auto Sales Ltd,7,7,4,27,0.006070254006017774,0.011198672749896308,192.1764705882353,0.005203550658096113
Ford,F-150,Elite Auto Group - USA,12,9,8,21,0.003481211951577916,0.008710078805474907,164.0,0.006097560975609756
Ford,F-150,Midcan Brokers Inc.,11,6,5,20,0.003341263732419005,0.00829531314807134,175.78571428571428,0.005688744412840309
Ford,F-150,Hinton Chrysler,12,11,11,20,0.0022566650339374433,0.00829531314807134,198.84615384615384,0.005029013539651838
Ford,F-150,Shahnawaz Enterprises Inc - SMS Motors,8,8,3,20,0.0033062766776292773,0.00829531314807134,134.125,0.007455731593662628
Ford,F-150,Titanium Auto Group Ltd - BC,14,13,12,20,0.0013644951367993842,0.00829531314807134,246.72727272727272,0.0040530582166543845
Ford,F-150,2547945 Ontario Inc,9,5,1,19,0.0024490938352809462,0.007880547490667772,184.71428571428572,0.005413766434648105
Ford,F-150,Yosh Shmenge Remarketing,7,3,2,19,0.003533692533762508,0.007880547490667772,136.15384615384616,0.007344632768361581
Ford,F-150,Automobile Endirect.com,14,14,7,19,0.008956686026170318,0.007880547490667772,233.4,0.004284490145672665
Ford,F-150,Explorer Van Canada,9,5,3,17,0.0016968721573017984,0.007051016175860639,152.41666666666666,0.006560962274466922
Ford,F-150,Kaylor Auto Group,15,15,13,17,0.0015394304107480233,0.007051016175860639,222.53846153846155,0.004493605254061527
Ford,F-150,Auto Link Direct,10,7,6,14,0.0009796375341123785,0.005806719203649938,115.0909090909091,0.008688783570300158
Ford,F-150,Bridge Fleet LLC,4,4,1,13,0.0007697152053740117,0.005391953546246371,204.14285714285714,0.00489853044086774
Ford,F-150,Border City Auto Sales & Service Inc.,1,0,0,13,0.0011895598628507453,0.005391953546246371,143.0,0.006993006993006993
Ram,1500,Bridge Valley,57,37,14,130,0.021954376880554197,0.09694258016405667,158.85882352941175,0.006294897430200697
Ram,1500,Autospace Incorporated - Deals On Wheelz,7,4,2,76,0.011458260443635855,0.05667412378821775,126.43859649122807,0.007908977383099765
Ram,1500,Automobiles Paille Inc.,26,15,12,63,0.02323140438037926,0.04697986577181208,156.875,0.006374501992031873
Ram,1500,Gateway Leasing,29,21,13,48,0.008466867259114127,0.035794183445190156,175.31428571428572,0.005704041720990874
Ram,1500,2776588 Ontario Limited - Trucktown,5,2,1,45,0.00851934784129872,0.03355704697986577,135.75757575757575,0.007366071428571429
Ram,1500,R.S. Car Sales Ltd,16,11,5,37,0.003936043663844377,0.027591349739000747,200.04545454545453,0.004998863894569416
Ram,1500,Gateway Leasing - East,16,11,6,37,0.0063326569169407316,0.027591349739000747,146.91666666666666,0.006806579693703914
Ram,1500,Steve Marshall Motors 1996 ltd,14,13,8,36,0.0042159401021622,0.026845637583892617,104.125,0.009603841536614645
Ram,1500,European Auto Gallery,18,13,12,30,0.012123014484640683,0.02237136465324385,147.57894736842104,0.006776034236804566
Ram,1500,Kaylor Auto Group,18,14,11,26,0.0015394304107480233,0.019388516032811335,194.4,0.0051440329218107
Ram,1500,Parkrow Auto Sales Ltd,1,0,0,25,0.006070254006017774,0.018642803877703208,195.82608695652175,0.005106571936056838
Ram,1500,Sundance Chevrolet,9,7,6,23,0.012070533902456092,0.01715137956748695,175.44444444444446,0.005699810006333122
Ram,1500,Yosh Shmenge Remarketing,7,4,2,23,0.003533692533762508,0.01715137956748695,120.05,0.008329862557267805
Ram,1500,Hinton Dodge & Jeep,4,1,0,20,0.002134210342173396,0.014914243102162566,180.125,0.005551700208188758
Ram,1500,1068827 Ontario Inc.,14,10,5,20,0.004320901266531383,0.014914243102162566,219.44444444444446,0.004556962025316455
Ram,1500,EV Elite Auto Sales,2,2,0,20,0.004810720033587573,0.014914243102162566,110.35714285714286,0.009061488673139158
Ram,1500,1716858 Ontario Inc.,5,2,1,19,0.0028864320201525437,0.014168530947054437,138.66666666666666,0.007211538461538462
Ram,1500,2547945 Ontario Inc,1,1,1,15,0.0024490938352809462,0.011185682326621925,142.8181818181818,0.007001909611712286
Ram,1500,Leavens Chrysler Dodge Jeep Ram,6,3,2,13,0.0021866909243579875,0.009694258016405667,206.66666666666666,0.004838709677419355
Ram,1500,"Pacific Auto Center, LLC",6,4,3,12,0.0004723252396613253,0.008948545861297539,202.33333333333334,0.004942339373970346
Ram,1500,Marsh Auto Sales LLC,2,0,0,12,0.0020467427051990765,0.008948545861297539,166.5,0.006006006006006006
Ram,1500,Elite Auto Group - USA,5,4,2,12,0.003481211951577916,0.008948545861297539,156.6,0.006385696040868455
Ram,1500,7767579 Canada Inc - Nexgen Cars Canada,0,0,0,11,0.0036036666433419636,0.00820283370618941,157.27272727272728,0.006358381502890173
Ram,1500,392268 Alberta Ltd,3,1,1,11,0.00071723462318942,0.00820283370618941,250.0,0.004
Ram,1500,Pioneer Chrysler BC,6,5,3,11,0.010478622909523476,0.00820283370618941,119.25,0.008385744234800839
Ram,1500,Pickard Lane Leasing,1,0,0,9,0.0036386536981316913,0.006711409395973154,165.71428571428572,0.00603448275862069
Ram,1500,Hinton Chrysler,4,3,2,9,0.0022566650339374433,0.006711409395973154,146.66666666666666,0.006818181818181819
Ram,1500,Autos Royal,1,1,1,9,0.0004023511300818697,0.006711409395973154,179.0,0.00558659217877095
Ram,1500,2581792 Ontario Inc,0,0,0,8,0.00038485760268700583,0.005965697240865026,203.57142857142858,0.004912280701754385
Ram,1500,Shahnawaz Enterprises Inc - SMS Motors,4,2,2,8,0.0033062766776292773,0.005965697240865026,154.71428571428572,0.006463527239150508
Ford,Escape,Era Classic,12,8,7,49,0.009026660135749773,0.037262357414448666,179.72972972972974,0.00556390977443609
Ford,Escape,Sundance Chevrolet,21,18,8,24,0.012070533902456092,0.018250950570342206,191.125,0.005232177894048398
Ford,Escape,Lexa Auto Sales Ltd.,15,14,14,22,0.0035686795885522355,0.016730038022813688,172.75,0.005788712011577424
Ford,Escape,Global Amana Auto Corp,11,10,8,20,0.0020642362325939403,0.015209125475285171,158.3,0.0063171193935565376
Ford,Escape,9209-5462 Qc Inc,3,2,1,19,0.0050031488349310755,0.014448669201520912,179.625,0.0055671537926235215
Ford,Escape,7767579 Canada Inc - Nexgen Cars Canada,11,10,8,19,0.0036036666433419636,0.014448669201520912,123.13333333333334,0.00812127774769897
Ford,Escape,Parkrow Auto Sales Ltd,3,2,1,18,0.006070254006017774,0.013688212927756654,153.07692307692307,0.0065326633165829154
Ford,Escape,Pickard Lane Leasing,7,4,4,15,0.0036386536981316913,0.011406844106463879,179.21428571428572,0.005579912315663611
Ford,Escape,Petrie Ford,13,11,4,15,0.0009446504793226506,0.011406844106463879,196.58333333333334,0.005086901229334463
Ford,Escape,Motion Mazda,11,8,5,14,0.00246658736267581,0.01064638783269962,178.2,0.0056116722783389455
Ford,Escape,Autospace Incorporated - Deals On Wheelz,3,0,0,13,0.011458260443635855,0.00988593155893536,147.66666666666666,0.006772009029345373
Ford,Escape,ClearCar,9,5,2,13,0.006577566300468827,0.00988593155893536,136.42857142857142,0.007329842931937174
Ford,Escape,Bridge Valley,6,2,2,13,0.021954376880554197,0.00988593155893536,198.77777777777777,0.005030743432084964
Ford,Escape,6929290 Canada Corporation,12,9,4,13,0.004740745924008117,0.00988593155893536,230.83333333333334,0.004332129963898917
Ford,Escape,Patterson Auto Sales Inc.,4,4,2,12,0.0020117556504093484,0.009125475285171103,145.125,0.0068906115417743325
Ford,Escape,JP Motors Sales Inc.,3,3,1,11,0.0029214190749422713,0.008365019011406844,126.375,0.00791295746785361
Ford,Escape,Albi Le Geant,7,4,1,10,0.005055629417115667,0.0076045627376425855,186.33333333333334,0.005366726296958855
Ford,Escape,Unicar Auto Group,6,4,4,10,0.0023616261983066267,0.0076045627376425855,165.625,0.0060377358490566035
Ford,Escape,Fairley & Stevens Ford,6,5,2,10,0.0011370792806661536,0.0076045627376425855,202.33333333333334,0.004942339373970346
Ford,Escape,2171574 Ontario Inc. - Guru Auto Service,5,4,3,10,0.00587782520467427,0.0076045627376425855,132.55555555555554,0.007544006705783739
