,Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
36,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Gateway Leasing - East,0,0,0,3,0.0063326569169407316,0.03333333333333333,185.33333333333334,0.0053956834532374095
37,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Gateway Leasing,1,1,0,2,0.008466867259114127,0.022222222222222223,93.0,0.010752688172043012
38,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Steele Ford Lincoln,1,0,0,2,8.74676369743195e-05,0.022222222222222223,188.0,0.005319148936170213
39,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,1202894 Ontario Inc - Edwards Mazda,1,1,1,2,0.002484080890070674,0.022222222222222223,178.0,0.0056179775280898875
40,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Sundance Chevrolet,2,2,1,2,0.012070533902456092,0.022222222222222223,,
41,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,6929290 Canada Corporation,2,1,0,2,0.004740745924008117,0.022222222222222223,210.0,0.004761904761904762
42,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Pioneer Chrysler BC,1,1,1,1,0.010478622909523476,0.011111111111111112,179.0,0.00558659217877095
43,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Overdrive Motors Inc,0,0,0,1,0.0011895598628507453,0.011111111111111112,129.0,0.007751937984496124
44,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Mr. Automotives,0,0,0,1,0.0002274158561332307,0.011111111111111112,121.0,0.008264462809917356
45,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Midtown Motors,1,1,1,1,0.002274158561332307,0.011111111111111112,,
46,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Pickard Lane Leasing,1,0,0,1,0.0036386536981316913,0.011111111111111112,217.0,0.004608294930875576
47,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Shahnawaz Enterprises Inc - SMS Motors,0,0,0,1,0.0033062766776292773,0.011111111111111112,107.0,0.009345794392523364
48,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Premium Automotive Sales,0,0,0,1,0.0011370792806661536,0.011111111111111112,45.0,0.022222222222222223
49,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Punjab Motors Ltd.,0,0,0,1,0.0003148834931075502,0.011111111111111112,95.0,0.010526315789473684
50,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,McNaught Buick Cadillac GMC,0,0,0,1,0.0008221957875586034,0.011111111111111112,162.0,0.006172839506172839
51,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Simard et Freres Automobiles Ltee,0,0,0,1,0.0001574417465537751,0.011111111111111112,190.0,0.005263157894736842
52,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Style Auto - 9052-5585 Quebec Inc,0,0,0,1,0.0018018333216709818,0.011111111111111112,240.0,0.004166666666666667
53,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Vernon Nissan - Vernon Titanium Autogroup Ltd.,0,0,0,1,0.0009096634245329228,0.011111111111111112,127.0,0.007874015748031496
54,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Vickar Chevrolet,0,0,0,1,0.0005947799314253726,0.011111111111111112,105.0,0.009523809523809525
55,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Woods Auto Sales Ltd.,0,0,0,1,0.0001574417465537751,0.011111111111111112,59.0,0.01694915254237288
56,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Yosh Shmenge Remarketing,1,0,0,1,0.003533692533762508,0.011111111111111112,127.0,0.007874015748031496
57,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Midcan Brokers Inc.,1,0,0,1,0.003341263732419005,0.011111111111111112,,
58,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,Haldimand Motors LTD,1,1,0,1,0.003463718424183052,0.011111111111111112,267.0,0.003745318352059925
59,Ford,F-150,2018,XLT 4WD SuperCrew 5.5' Box,MB MOTORS,1,1,1,1,0.0039535371912392415,0.011111111111111112,88.0,0.011363636363636364
60,Ford,Escape,2017,4WD 4dr SE,7767579 Canada Inc - Nexgen Cars Canada,3,3,2,3,0.0036036666433419636,0.08823529411764706,148.5,0.006734006734006734
61,Ford,Escape,2017,4WD 4dr SE,6929290 Canada Corporation,2,2,1,2,0.004740745924008117,0.058823529411764705,218.0,0.0045871559633027525
62,Ford,Escape,2017,4WD 4dr SE,Occasion Vehicule de Longueuil,1,0,0,2,0.0004548317122664614,0.058823529411764705,108.0,0.009259259259259259
63,Ford,Escape,2017,4WD 4dr SE,JP Motors Sales Inc.,0,0,0,2,0.0029214190749422713,0.058823529411764705,53.5,0.018691588785046728
64,Ford,Escape,2017,4WD 4dr SE,1292448 Ontario Limited - Used Trucks Ottawa,1,1,1,1,0.000524805821845917,0.029411764705882353,269.0,0.0037174721189591076
65,Ford,Escape,2017,4WD 4dr SE,Carizma Auto Group,1,1,1,1,0.0005597928766356449,0.029411764705882353,276.0,0.0036231884057971015
66,Ford,Escape,2017,4WD 4dr SE,Unicar Auto Group,1,0,0,1,0.0023616261983066267,0.029411764705882353,,
67,Ford,Escape,2017,4WD 4dr SE,Style Auto - 9052-5585 Quebec Inc,1,1,1,1,0.0018018333216709818,0.029411764705882353,92.0,0.010869565217391304
68,Ford,Escape,2017,4WD 4dr SE,Right Turn Auto,0,0,0,1,0.0005947799314253726,0.029411764705882353,154.0,0.006493506493506494
69,Ford,Escape,2017,4WD 4dr SE,Patterson Auto Sales Inc.,0,0,0,1,0.0020117556504093484,0.029411764705882353,101.0,0.009900990099009901
70,Ford,Escape,2017,4WD 4dr SE,Nexus Auto Group Ltd.,0,0,0,1,0.0009446504793226506,0.029411764705882353,37.0,0.02702702702702703
